Satellite,Timestamp (UTC),Doppler Shift (Hz)
STARLINK-4496,2025-07-13T03:09:54Z,-180146.5766
STARLINK-4496,2025-07-13T03:09:55Z,-181407.8863
STARLINK-4496,2025-07-13T03:09:56Z,-182646.0125
STARLINK-4496,2025-07-13T03:09:57Z,-183861.3615
STARLINK-4496,2025-07-13T03:09:58Z,-185054.3362
STARLINK-5142,2025-07-13T03:09:00Z,29937.76471
STARLINK-5142,2025-07-13T03:09:01Z,26848.07132
STARLINK-5142,2025-07-13T03:09:02Z,23747.2368
STARLINK-5142,2025-07-13T03:09:03Z,20636.50414
STARLINK-5142,2025-07-13T03:09:04Z,17517.13674
STARLINK-5142,2025-07-13T03:09:05Z,14390.41585
STARLINK-5142,2025-07-13T03:09:06Z,11257.63804
STARLINK-5142,2025-07-13T03:09:07Z,8120.11256
STARLINK-5142,2025-07-13T03:09:08Z,4979.158644
STARLINK-5142,2025-07-13T03:09:09Z,1836.10274
STARLINK-5142,2025-07-13T03:09:10Z,-1307.724257
STARLINK-5142,2025-07-13T03:09:11Z,-4450.989822
STARLINK-5142,2025-07-13T03:09:12Z,-7592.362607
STARLINK-5142,2025-07-13T03:09:13Z,-10730.51526
STARLINK-5142,2025-07-13T03:09:14Z,-13864.1272
STARLINK-5142,2025-07-13T03:09:15Z,-16991.88739
STARLINK-5142,2025-07-13T03:09:16Z,-20112.49703
STARLINK-5142,2025-07-13T03:09:17Z,-23224.67224
STARLINK-5142,2025-07-13T03:09:18Z,-26327.14658
STARLINK-5142,2025-07-13T03:09:19Z,-29418.6736
STARLINK-5142,2025-07-13T03:09:20Z,-32498.02921
STARLINK-5142,2025-07-13T03:09:21Z,-35564.01399
STARLINK-5142,2025-07-13T03:09:22Z,-38615.45536
STARLINK-5142,2025-07-13T03:09:23Z,-41651.20963
STARLINK-5142,2025-07-13T03:09:24Z,-44670.16393
STARLINK-5142,2025-07-13T03:09:25Z,-47671.23803
STARLINK-5142,2025-07-13T03:09:26Z,-50653.38593
STARLINK-5142,2025-07-13T03:09:27Z,-53615.5974
STARLINK-5142,2025-07-13T03:09:28Z,-56556.89933
STARLINK-5142,2025-07-13T03:09:29Z,-59476.35691
STARLINK-5142,2025-07-13T03:09:30Z,-62373.07468
STARLINK-5142,2025-07-13T03:09:31Z,-65246.19743
STARLINK-5142,2025-07-13T03:09:32Z,-68094.91093
STARLINK-5142,2025-07-13T03:09:33Z,-70918.44253
STARLINK-5142,2025-07-13T03:09:34Z,-73716.06157
STARLINK-5142,2025-07-13T03:09:35Z,-76487.07973
STARLINK-5142,2025-07-13T03:09:36Z,-79230.85113
STARLINK-5142,2025-07-13T03:09:37Z,-81946.77238
STARLINK-5142,2025-07-13T03:09:38Z,-84634.28245
STARLINK-5142,2025-07-13T03:09:39Z,-87292.86248
STARLINK-5142,2025-07-13T03:09:40Z,-89922.03537
STARLINK-5142,2025-07-13T03:09:41Z,-92521.36535
STARLINK-5142,2025-07-13T03:09:42Z,-95090.45742
STARLINK-5142,2025-07-13T03:09:43Z,-97628.95665
STARLINK-5142,2025-07-13T03:09:44Z,-100136.5475
STARLINK-5142,2025-07-13T03:09:45Z,-102612.9529
STARLINK-5142,2025-07-13T03:09:46Z,-105057.9334
STARLINK-5142,2025-07-13T03:09:47Z,-107471.2862
STARLINK-5142,2025-07-13T03:09:48Z,-109852.844
STARLINK-5142,2025-07-13T03:09:49Z,-112202.4743
STARLINK-5142,2025-07-13T03:09:50Z,-114520.0777
STARLINK-5142,2025-07-13T03:09:51Z,-116805.5871
STARLINK-5142,2025-07-13T03:09:52Z,-119058.9666
STARLINK-5142,2025-07-13T03:09:53Z,-121280.2099
